dataset,mse,a11,a12,a21,a22,eigenvalue_1,eigenvalue_2,stable
CShape.csv,22065.871742721632,-10.50244477024185,-5.008104812739999,16.023533473494467,0.7753144801611832,(-4.863565145040333+6.9606444872723765j),(-4.863565145040333-6.9606444872723765j),True
Line.csv,88952.25441249608,-70.9768366919037,227.4869836771126,-20.84870313850644,66.52942606538717,(-2.2237053132582645+3.976872664431297j),(-2.2237053132582645-3.976872664431297j),True
Sshape.csv,519592.9545742064,-2.687989873086915,-0.24696971138176615,-2.871720825542993,-0.26472154646563195,-2.9519184529881097,-0.0007929665644375583,True
WShape.csv,341381.8916726123,-0.24091367323424445,-5.791188136991758,3.332961726334798,-4.173910958925424,(-2.207412316079834+3.9287009937489645j),(-2.207412316079834-3.9287009937489645j),True
